Mnemonic    Addressing Mode      Bytes   Cycles  Description
ADC         Immediate           2       2       Add with Carry
ADC         Zero Page           2       3       Add with Carry
ADC         Zero Page,X         2       4       Add with Carry
ADC         Absolute            3       4       Add with Carry
ADC         Absolute,X          3       4+      Add with Carry (+1 if page crossed)
ADC         Absolute,Y          3       4+      Add with Carry (+1 if page crossed)
ADC         (Indirect,X)        2       6       Add with Carry
ADC         (Indirect),Y        2       5+      Add with Carry (+1 if page crossed)
AND         Immediate           2       2       Logical AND
AND         Zero Page           2       3       Logical AND
AND         Zero Page,X         2       4       Logical AND
AND         Absolute            3       4       Logical AND
AND         Absolute,X          3       4+      Logical AND (+1 if page crossed)
AND         Absolute,Y          3       4+      Logical AND (+1 if page crossed)
AND         (Indirect,X)        2       6       Logical AND
AND         (Indirect),Y        2       5+      Logical AND (+1 if page crossed)
ASL         Accumulator         1       2       Arithmetic Shift Left
ASL         Zero Page           2       5       Arithmetic Shift Left
ASL         Zero Page,X         2       6       Arithmetic Shift Left
ASL         Absolute            3       6       Arithmetic Shift Left
ASL         Absolute,X          3       7       Arithmetic Shift Left
BCC         Relative            2       2+      Branch if Carry Clear (+1 if taken, +2 if page crossed)
BCS         Relative            2       2+      Branch if Carry Set (+1 if taken, +2 if page crossed)
BEQ         Relative            2       2+      Branch if Equal (Zero set)
BMI         Relative            2       2+      Branch if Minus
BNE         Relative            2       2+      Branch if Not Equal
BPL         Relative            2       2+      Branch if Plus
BVC         Relative            2       2+      Branch if Overflow Clear
BVS         Relative            2       2+      Branch if Overflow Set
CLC         Implied             1       2       Clear Carry Flag
CLD         Implied             1       2       Clear Decimal Mode
CLI         Implied             1       2       Clear Interrupt Disable
CLV         Implied             1       2       Clear Overflow Flag
CMP         Immediate           2       2       Compare Accumulator
CMP         Zero Page           2       3       Compare Accumulator
CMP         Zero Page,X         2       4       Compare Accumulator
CMP         Absolute            3       4       Compare Accumulator
CMP         Absolute,X          3       4+      Compare Accumulator (+1 if page crossed)
CMP         Absolute,Y          3       4+      Compare Accumulator (+1 if page crossed)
